"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-01","7.7",,"0.0","0.0","0.0","0.3","4.4","-2.1","  230","  230","11.6","14.3",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-02","6.1",,"0.0","0.0","0.0","4.1","7.2","1.7","  300","  300","10.7","13.4",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-03","4.1",,"23.9","0.0","0.0","2.5","8.3","-1.0","   90","  100","8.1","10.3","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-04","4.5",,"11.9","0.0","0.0","8.5","12.8","6.1","  290","  290","12.5","16.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-05","8.8",,"0.0","0.0","0.0","6.1","10.6","-4.9","  280","  290","14.8","21.5",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-06","3.8",,"1.8","28.0","0.0","-5.5","-4.9","-7.1","  310","  310","10.3","12.5","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-07","9.6",,"0.0","0.0","30.0","-5.6","-3.8","-12.1","  310","  310","17.9","21.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-08","7.7",,"0.0","0.0","0.0","-10.1","-5.5","-13.2","  310","  300","14.8","17.4",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-09","8.8",,"1.8","33.0","0.0","-3.3","1.1","-6.0","  210","  270","14.8","17.9","    1",,,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-10","7.4",,"0.0","0.0","30.0","-5.3","-4.3","-7.7","  280","  280","11.2","14.3",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-11","4.9",,"0.0","0.0","30.0","-3.5","3.3","-6.6","  200","  190","9.4","10.7",,,,,,,,
